num_meta,num_user,genres,rating,url,game_title,metacritic_score,user_score,release_date
NA,NA,NA,NA,http://www.metacritic.com/game/playstation-4/god-of-war,God of War (PS4),95,NA,"Apr 20, 2018"
9,103,"Action, Platformer, 2D",E10+,http://www.metacritic.com/game/xbox-one/celeste,Celeste (XONE),94,6.4,"Jan 26, 2018"
31,279,"Action, Platformer, 2D",E10+,http://www.metacritic.com/game/switch/celeste,Celeste (Switch),92,8.1,"Jan 25, 2018"
32,128,"Action Adventure, Linear",M,http://www.metacritic.com/game/switch/bayonetta-2,Bayonetta 2 (Switch),92,8.3,"Feb 16, 2018"
98,1273,"Action Adventure, General",T,http://www.metacritic.com/game/playstation-4/shadow-of-the-colossus,Shadow of the Colossus (PS4),91,9.1,"Feb 6, 2018"
7,83,"Action, Platformer, 2D",E10+,http://www.metacritic.com/game/playstation-4/celeste,Celeste (PS4),91,6,"Jan 25, 2018"
17,278,"Role-Playing, Action RPG",T,http://www.metacritic.com/game/xbox-one/monster-hunter-world,Monster Hunter: World (XONE),90,7.4,"Jan 26, 2018"
89,1115,"Role-Playing, Action RPG",T,http://www.metacritic.com/game/playstation-4/monster-hunter-world,Monster Hunter: World (PS4),90,8,"Jan 26, 2018"
52,147,"Strategy, Turn-Based, General",NA,http://www.metacritic.com/game/pc/into-the-breach,Into the Breach (PC),90,7.6,"Feb 27, 2018"
25,181,"Miscellaneous, Compilation",M,http://www.metacritic.com/game/switch/bayonetta-+-bayonetta-2,Bayonetta + Bayonetta 2 (Switch),90,8.7,"Feb 16, 2018"
34,311,"Adventure, General",E10+,http://www.metacritic.com/game/pc/subnautica,Subnautica (PC),88,8.1,"Jan 23, 2018"
16,112,"Action, Platformer, 2D",NA,http://www.metacritic.com/game/pc/celeste,Celeste (PC),88,6.8,"Jan 25, 2018"
36,195,"Action, Fighting, 2D",T,http://www.metacritic.com/game/playstation-4/street-fighter-v-arcade-edition,Street Fighter V: Arcade Edition (PS4),87,7.2,"Jan 16, 2018"
74,296,"Action, Fighting, 2D",T,http://www.metacritic.com/game/playstation-4/dragon-ball-fighterz,Dragon Ball FighterZ (PS4),87,7.9,"Jan 26, 2018"
22,38,"Action Adventure, General",E10+,http://www.metacritic.com/game/switch/owlboy,Owlboy (Switch),87,7.7,"Feb 13, 2018"
21,36,"Action Adventure, Open-World",NA,http://www.metacritic.com/game/pc/iconoclasts,Iconoclasts (PC),87,7,"Jan 23, 2018"
7,10,"Role-Playing, Action RPG",T,http://www.metacritic.com/game/switch/crypt-of-the-necrodancer-nintendo-switch-edition,Crypt of the NecroDancer: Nintendo Switch Edition (Switch),86,7.6,"Feb 1, 2018"
15,34,"Action Adventure, General",T,http://www.metacritic.com/game/switch/night-in-the-woods,Night in the Woods (Switch),86,7.7,"Feb 1, 2018"
24,57,"Action, Fighting, 2D",T,http://www.metacritic.com/game/xbox-one/dragon-ball-fighterz,Dragon Ball FighterZ (XONE),86,7.6,"Jan 26, 2018"
9,7,"Action, Platformer, 2D",E10+,http://www.metacritic.com/game/switch/shantae-and-the-pirates-curse,Shantae and the Pirate's Curse (Switch),85,7.6,"Mar 20, 2018"
76,331,"Action RPG, Role-Playing, Japanese-Style",T,http://www.metacritic.com/game/playstation-4/ni-no-kuni-ii-revenant-kingdom,Ni no Kuni II: Revenant Kingdom (PS4),85,8.3,"Mar 23, 2018"
11,32,"Role-Playing, Japanese-Style",T,http://www.metacritic.com/game/pc/final-fantasy-xii-the-zodiac-age,Final Fantasy XII: The Zodiac Age (PC),85,5.7,"Feb 1, 2018"
