country,pay_gap,year
Australia,15.38,2014
Austria,17.73,2014
Belgium,5.91,2013
Canada,18.63,2015
Chile,16.67,2013
Czech Republic,16.46,2013
Denmark,6.77,2013
Estonia,26.6,2010
Finland,19.61,2014
France,13.67,2012
Germany,17.08,2014
Greece,9.09,2014
Hungary,9.52,2015
Iceland,13.59,2014
Ireland,15.17,2014
Israel,21.83,2011
Italy,5.56,2014
Japan,25.87,2014
Korea,36.65,2014
Latvia,13.33,2010
Lithuania,6.96,2010
Luxembourg,4.97,2010
Mexico,16.67,2015
Netherlands,18.6,2010
New Zealand,6.08,2014
Norway,7.12,2015
Poland,11.07,2014
Portugal,18.88,2014
Slovakia,13.38,2015
Slovenia,11.63,2010
Spain,8.65,2012
Sweden,13.42,2013
Switzerland,14.5,2014
Turkey,20.06,2010
United Kingdom,16.93,2015
United States,18.88,2015
